triggerTitle,triggerChannelTitle,actionTitle,actionChannelTitle,title,desc,trigger_class,action_class,rule_scope,topic_text,topic_id,topic_name,numtopic_id,sample_id,llm_topic_name,green_category,global_green_relevance,if_then_rule,green_relevance,keep_for_rag
Sunset,Weather Underground,Send a command,openHAB,Turn on lights at Sunset,Within 15 min of Sunset: Turn on lights!,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Send a command using openHAB. Turn on lights at Sunset. Within 15 min of Sunset: Turn on lights!",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0031,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on lights.,high,True
Sunset,Weather Underground,Activate scene,LIFX,"When the sunsets, activate my scene","When the sunsets, activate my scene",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Activate scene using LIFX. When the sunsets, activate my scene. When the sunsets, activate my scene",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0032,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN activate my scene using LIFX.,none,False
Sunset,Weather Underground,Activate scene,LIFX,"If sunset, then activate LIFX Scene",Create scene using your LIFX lights that has a warm yellow glow to align circadian rhythm,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Activate scene using LIFX. If sunset, then activate LIFX Scene. Create scene using your LIFX lights that has a warm yellow glow to align circadian rhythm",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0033,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN activate LIFX Scene.,medium,True
Sunrise,Weather Underground,Activate scene,LIFX,When the sunrises activate LIFX scene,Wake up when the sunrises with your favorite light settings.,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Activate scene using LIFX. When the sunrises activate LIFX scene. Wake up when the sunrises with your favorite light settings.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0034,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN activate LIFX scene.,none,False
Sunrise,Weather Underground,Activate scene,LIFX,"If sunrise, then activate LIFX Scene",Create scene using your LIFX lights that has a cool blue glow to align circadian rhythm,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Activate scene using LIFX. If sunrise, then activate LIFX Scene. Create scene using your LIFX lights that has a cool blue glow to align circadian rhythm",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0035,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN activate LIFX Scene.,none,False
Sunset,Weather Underground,Turn on light,LightwaveRF Lighting,Turn on a LightwaveRF Dimmer at sunset,Within 15 minutes of your locations sunset a LightwaveRF dimmer of your choice will switch on,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on light using LightwaveRF Lighting. Turn on a LightwaveRF Dimmer at sunset. Within 15 minutes of your locations sunset a LightwaveRF dimmer of your choice will switch on",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0036,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on a LightwaveRF Dimmer.,high,True
Sunset,Weather Underground,Turn on light,LightwaveRF Lighting,Turn on any LightwaveRF light,If you have dimmable bulbs then use sunset to turn them on,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on light using LightwaveRF Lighting. Turn on any LightwaveRF light. If you have dimmable bulbs then use sunset to turn them on",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0037,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on any LightwaveRF light.,high,True
Sunrise,Weather Underground,Turn off light,LightwaveRF Lighting,Turn off lights at Sunrise,Use IFTTT to turn off your outdoor lights when the sun comes up,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Turn off light using LightwaveRF Lighting. Turn off lights at Sunrise. Use IFTTT to turn off your outdoor lights when the sun comes up",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0038,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN turn off lights using LightwaveRF Lighting.,high,True
Sunset,Weather Underground,Dim a light,LightwaveRF Lighting,Switch Porch Light ON at Sunset,Switch ON a LightwaveRF light at sunset,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Dim a light using LightwaveRF Lighting. Switch Porch Light ON at Sunset. Switch ON a LightwaveRF light at sunset",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0039,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN switch porch light ON.,high,True
Sunset,Weather Underground,Dim a light,LightwaveRF Lighting,Bring lights up at sunset,"At sunset, bring lights up to 40%Useful for dark porches and hallways.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Dim a light using LightwaveRF Lighting. Bring lights up at sunset. At sunset, bring lights up to 40%Useful for dark porches and hallways.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0040,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN bring lights up to 40%.,medium,True
Sunset,Weather Underground,Turn on lights,Philips Hue,"If 1 hour before sunset in London, turn on all lights.","You will need to offset your location in the weather app to achieve thisFor 1 Hour before sunrise in London use Warsaw, Poland as your location.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. If 1 hour before sunset in London, turn on all lights.. You will need to offset your location in the weather app to achieve thisFor 1 Hour before sunrise in London use Warsaw, Poland as your location.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0041,sunrise_sunset_light_control,lighting_control,high,IF 1 hour before sunset in London THEN turn on all lights.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Turn on Hue Lamp on sunset,You dont want to leave your pets in the dark? Then this Applet is for you...,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Turn on Hue Lamp on sunset. You dont want to leave your pets in the dark? Then this Applet is for you...",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0042,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on Hue Lamp.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Turn on lights at sunset,Turn on the lights when the sun goes down,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Turn on lights at sunset. Turn on the lights when the sun goes down",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0043,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on lights.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,turn on lights at sunrise,turn on lights at sunrise,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. turn on lights at sunrise. turn on lights at sunrise",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0044,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on lights at sunrise.,none,False
Sunset,Weather Underground,Turn on,WeMo Light Switch,Front Porch - on at sunset,Front Porch - on at sunset,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on using WeMo Light Switch. Front Porch - on at sunset. Front Porch - on at sunset",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0045,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on Front Porch using WeMo Light Switch.,high,True
Sunrise,Weather Underground,Turn off,WeMo Light Switch,Turn off a WeMo Switch at Sunrise,I use this Applet to automatically turn off my exterior lights at sunrise.,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Turn off using WeMo Light Switch. Turn off a WeMo Switch at Sunrise. I use this Applet to automatically turn off my exterior lights at sunrise.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0046,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN turn off WeMo Switch.,high,True
Sunset,Weather Underground,Turn on a group of lights,WeMo Lighting,"If sunset, then turn on Group Lighting",Selected group of light bulbs will turn on during sunset.You will have to create your own grouped light bulbsThis example for a Den Room.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on a group of lights using WeMo Lighting. If sunset, then turn on Group Lighting. Selected group of light bulbs will turn on during sunset.You will have to create your own grouped light bulbsThis example for a Den Room.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0047,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on Group Lighting.,high,True
Sunset,Weather Underground,Turn on,WeMo Smart Plug,Turn on Hall Cube Lamp when the sun sets,Turns my lamp on at sunset.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on using WeMo Smart Plug. Turn on Hall Cube Lamp when the sun sets. Turns my lamp on at sunset.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0048,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on Hall Cube Lamp using WeMo Smart Plug.,high,True
Sunrise,Weather Underground,Turn on,WeMo Smart Plug,Switch on Lights between Sunrise and leaving the house,For those dark Winter mornings!,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Turn on using WeMo Smart Plug. Switch on Lights between Sunrise and leaving the house. For those dark Winter mornings!",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0049,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN switch on Lights using WeMo Smart Plug.,medium,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Shine on me when sunset!,Turn lights on when world gets dark.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Shine on me when sunset!. Turn lights on when world gets dark.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0050,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn lights on.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Afraid of the dark,This will turn your lights on within 15 minutes of your local sunsetvia the Weather Channel.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Afraid of the dark. This will turn your lights on within 15 minutes of your local sunsetvia the Weather Channel.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0051,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn lights on within 15 minutes of sunset.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,"At sunset, activate all lights",This simple recipe turns on your lights at sunset,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. At sunset, activate all lights. This simple recipe turns on your lights at sunset",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0052,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on lights.,high,True
Sunset,Weather Underground,Send a command,openHAB,Close Rollershutters at Sunset,Tired of manually shutting down Rollershutters or switching on the garden lights at sunset? This recipe helps automating this task for you!,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Send a command using openHAB. Close Rollershutters at Sunset. Tired of manually shutting down Rollershutters or switching on the garden lights at sunset? This recipe helps automating this task for you!",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0053,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN close Rollershutters.,none,False
Sunrise,Weather Underground,Change color,ORBneXt,Wake up with sunrise light,Change the light to sunrise likely to welcome you have a new day.,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Change color using ORBneXt. Wake up with sunrise light. Change the light to sunrise likely to welcome you have a new day.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0054,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN change the light to sunrise.,none,False
Sunrise,Weather Underground,Brew coffee,WeMo Coffeemaker,Freshly brewed coffee every morning,"At sunrise, set MrCoffee to brew.",context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Brew coffee using WeMo Coffeemaker. Freshly brewed coffee every morning. At sunrise, set MrCoffee to brew.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0055,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN set MrCoffee to brew.,none,False
Sunset,Weather Underground,Call a function,Particle,Turn on roof lights at sunset,Turn Christmas roof lights on at sunset using a Particle Internet Button and a 433 MHz transmitter,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Call a function using Particle. Turn on roof lights at sunset. Turn Christmas roof lights on at sunset using a Particle Internet Button and a 433 MHz transmitter",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0056,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on roof lights.,none,False
Sunrise,Weather Underground,Change color of lights,LIFX,Change Light Color at Sunrise,"On my pc the color shifts to a more yellow in the evening to keep me from being to awake when I need to sleep, I set this to change the light color to be more blue in the morning",context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Change color of lights using LIFX. Change Light Color at Sunrise. On my pc the color shifts to a more yellow in the evening to keep me from being to awake when I need to sleep, I set this to change the light color to be more blue in the morning",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0057,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN change Light Color.,none,False
Current condition changes to,Weather Underground,Activate Multiple Room Scene,Hunter Douglas PowerView,If Rain then Shut Shades,Works with multi room scenes from Hunter Douglas Basically I put all my shades in a scene and when it rains the shades will be set to shut.,context,smart_home,context_aware_smart_home,"When Current condition changes to from Weather Underground, do Activate Multiple Room Scene using Hunter Douglas PowerView. If Rain then Shut Shades. Works with multi room scenes from Hunter Douglas Basically I put all my shades in a scene and when it rains the shades will be set to shut.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0058,sunrise_sunset_light_control,lighting_control,high,IF Current condition changes to clear from Weather Underground THEN close all shades.,none,False
Current UV index rises above,Weather Underground,Execute scene,IntesisHome,Power on at sunshine,switch your AC to powermode if sun is shining,context,smart_home,context_aware_smart_home,"When Current UV index rises above from Weather Underground, do Execute scene using IntesisHome. Power on at sunshine. switch your AC to powermode if sun is shining",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0059,sunrise_sunset_light_control,lighting_control,high,IF Current UV index rises above a configured threshold from Weather Underground THEN switch your AC to powermode.,none,False
Sunrise,Weather Underground,Turn lights off,LIFX,"If sunrise, then turn lights off",Turns lights off when the sun comes up,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Turn lights off using LIFX. If sunrise, then turn lights off. Turns lights off when the sun comes up",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0060,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN turn lights off using LIFX.,high,True
Sunset,Weather Underground,Turn lights on,LIFX,Lights on at Sunset,Needed a way to make sure there are lights on when we got home each night.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn lights on using LIFX. Lights on at Sunset. Needed a way to make sure there are lights on when we got home each night.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0061,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn lights on using LIFX.,high,True
Sunset,Weather Underground,Turn lights on,LIFX,Lights on at sunset,Have the lights turn on at sunsetMakes it easy to always have light when you come home.Adjust light settings before activating.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn lights on using LIFX. Lights on at sunset. Have the lights turn on at sunsetMakes it easy to always have light when you come home.Adjust light settings before activating.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0062,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn lights on using LIFX.,high,True
Sunset,Weather Underground,Change color of lights,LIFX,Dim your lights to a golden glow when the sun sets,"Never miss the sunset, even if you're indoorsThis Applet will fade your lights to a golden glow when the sun is setting.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Change color of lights using LIFX. Dim your lights to a golden glow when the sun sets. Never miss the sunset, even if you're indoorsThis Applet will fade your lights to a golden glow when the sun is setting.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0063,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN dim your lights to a golden glow.,medium,True
Sunset,Weather Underground,Change color of lights,LIFX,"When the sun sets, switch light on to a random color.",Create a different mood every night! Switches on at 50% brightness which offers the most vivid hue.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Change color of lights using LIFX. When the sun sets, switch light on to a random color.. Create a different mood every night! Switches on at 50% brightness which offers the most vivid hue.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0064,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN switch light on to a random color.,none,False
Sunset,Weather Underground,Activate scene,LIFX,"As the sun goes down, fade on the lights","At sunset turn on and change color of lights to greet the 'blue hour', when everything outside gets a blueish shade.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Activate scene using LIFX. As the sun goes down, fade on the lights. At sunset turn on and change color of lights to greet the 'blue hour', when everything outside gets a blueish shade.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0065,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN fade on the lights.,medium,True
Current condition changes to,Weather Underground,Activate scene,LIFX,"If it begins to rain, activate scene","If it begins to rain, activate scene",context,smart_home,context_aware_smart_home,"When Current condition changes to from Weather Underground, do Activate scene using LIFX. If it begins to rain, activate scene. If it begins to rain, activate scene",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0066,sunrise_sunset_light_control,lighting_control,high,IF Current condition changes to from Weather Underground THEN activate scene.,none,False
Sunset,Weather Underground,Turn on lights,Philips Hue,Light the House (at Sunset),You can select the option to select all lights or just one light.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Light the House (at Sunset). You can select the option to select all lights or just one light.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0067,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on lights.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,"If sunset, then turn on hue lights",This Applet will turn on your hue lights at sunset.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. If sunset, then turn on hue lights. This Applet will turn on your hue lights at sunset.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0068,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on hue lights.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Outside Lights | On | Front,Outside Lights | On | Front,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Outside Lights | On | Front. Outside Lights | On | Front",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0069,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on outside lights.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Turn on a Hue light at sunset,"None of the Hue apps do this, so IFTTT...",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Turn on a Hue light at sunset. None of the Hue apps do this, so IFTTT...",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0070,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on a Hue light.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Turn Bar Light On,No Note,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Turn Bar Light On. No Note",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0071,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn Bar Light On.,none,False
Sunset,Weather Underground,Turn on lights,Philips Hue,Automatically turn your lights on at sunset,"Never be left in the darkWhenever the sun starts to set, your Philips Hue bulbs will automatically turn on.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Automatically turn your lights on at sunset. Never be left in the darkWhenever the sun starts to set, your Philips Hue bulbs will automatically turn on.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0072,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN automatically turn on your lights.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,"If sunset, then HUE lamps ON","Keeps your HUE lights sync'ed with the seasons, and saves energy.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. If sunset, then HUE lamps ON. Keeps your HUE lights sync'ed with the seasons, and saves energy.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0073,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on HUE lamps.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,Turn on lights before sunset,Just pick which lights and you're good to go!,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Turn on lights before sunset. Just pick which lights and you're good to go!",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0074,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on lights before sunset.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,If it's ALMOST sunset then turn on the lights,It's too dark when the sun already has set innit :-),context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. If it's ALMOST sunset then turn on the lights. It's too dark when the sun already has set innit :-)",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0075,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on the lights if it's almost sunset.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,ignition light,ignition light,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. ignition light. ignition light",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0076,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN ignition light.,none,False
Sunset,Weather Underground,Turn on lights,Philips Hue,Weather sunset then turn on lights,I use this to turn lights on based on sunset time from weather,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Weather sunset then turn on lights. I use this to turn lights on based on sunset time from weather",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0077,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on lights based on sunset time.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,"lights off during sunrise, vice versa",Easily manage lights,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. lights off during sunrise, vice versa. Easily manage lights",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0078,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN manage lights during sunrise.,none,False
Sunset,Weather Underground,Turn on lights,Philips Hue,Weatherlite,Control lights with notification of weather changes.,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Weatherlite. Control lights with notification of weather changes.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0079,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN control lights with notification of weather changes.,none,False
Sunset,Weather Underground,Turn on lights,Philips Hue,Turn Hue lights on at sunset,Because you're too lazy to turn it on yourself!,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Turn Hue lights on at sunset. Because you're too lazy to turn it on yourself!",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0080,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn Hue lights on.,high,True
Sunset,Weather Underground,Turn on lights,Philips Hue,"Automatically turn on your Hue lights, just before sunset","30 minutes before sunset, your Philips Hue lights will automatically turn on.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on lights using Philips Hue. Automatically turn on your Hue lights, just before sunset. 30 minutes before sunset, your Philips Hue lights will automatically turn on.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0081,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN automatically turn on your Hue lights just before sunset.,high,True
Sunset,Weather Underground,Turn on a device,HomeSeer,If #Sunset the #Homeseer turn on #Lights,"At Sunset, Homeseer will turn on a device of your choosing, in my case, my exterior lights.",context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Turn on a device using HomeSeer. If #Sunset the #Homeseer turn on #Lights. At Sunset, Homeseer will turn on a device of your choosing, in my case, my exterior lights.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0082,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on a device using HomeSeer.,none,False
Sunrise,Weather Underground,Turn light off,Emberlight,"When the sun rises, turn off my exterior Emberlight",Hopefully this works soon,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Turn light off using Emberlight. When the sun rises, turn off my exterior Emberlight. Hopefully this works soon",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0083,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN turn off my exterior Emberlight.,none,False
Sunset,Weather Underground,Power on device,Energenie Mi|Home,Turn on MiHome plug (light) at Sunset,Useful for turning on a light a sunset,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Power on device using Energenie Mi|Home. Turn on MiHome plug (light) at Sunset. Useful for turning on a light a sunset",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0084,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN turn on MiHome plug at Sunset.,high,True
Sunset,Weather Underground,Power on device,Energenie Mi|Home,Switch your Mi|Home adapter ON everyday at sunset,The socket will switch on at sunset each day,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Power on device using Energenie Mi|Home. Switch your Mi|Home adapter ON everyday at sunset. The socket will switch on at sunset each day",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0085,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN switch your Mi|Home adapter ON at sunset.,high,True
Sunset,Weather Underground,Power off device,Energenie Mi|Home,Switch your Mi|Home adapter OFF everyday at sunset,The socket will switch off at sunset each day,context,smart_home,context_aware_smart_home,"When Sunset from Weather Underground, do Power off device using Energenie Mi|Home. Switch your Mi|Home adapter OFF everyday at sunset. The socket will switch off at sunset each day",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0086,sunrise_sunset_light_control,lighting_control,high,IF Sunset from Weather Underground THEN switch your Mi|Home adapter OFF at sunset.,none,False
Sunrise,Weather Underground,Power off device,Energenie Mi|Home,Switch your Mi|Home adapter OFF everyday at sunrise,The socket will switch off at sunrise each day,context,smart_home,context_aware_smart_home,"When Sunrise from Weather Underground, do Power off device using Energenie Mi|Home. Switch your Mi|Home adapter OFF everyday at sunrise. The socket will switch off at sunrise each day",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0087,sunrise_sunset_light_control,lighting_control,high,IF Sunrise from Weather Underground THEN switch your Mi|Home adapter OFF at sunrise.,none,False
Current condition changes to,Weather Underground,Activate Multiple Room Scene,HD PowerView QA (Staging),Close all shades when the sun is shining.,This Applet will close all shades included in a multiple room scene when weather condition changes to clear.,context,smart_home,context_aware_smart_home,"When Current condition changes to from Weather Underground, do Activate Multiple Room Scene using HD PowerView QA (Staging). Close all shades when the sun is shining.. This Applet will close all shades included in a multiple room scene when weather condition changes to clear.",2,2_automatically turn_philips hue turn_turn switch_change light,T002,T002_S0088,sunrise_sunset_light_control,lighting_control,high,IF Current condition changes to clear from Weather Underground THEN close all shades.,none,False
